"filename", "language", "Markdown", "PowerShell", "Batch", "Python", "JSON with Comments", "YAML", "XML", "JSON", "TypeScript", "TypeScript JSX", "Log", "pip requirements", "Ini", "MS SQL", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\challenges_design.md", "Markdown", 956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 1186
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\create_content_refactor_tracker.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 41
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\README.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 40
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\content.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 136
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\core.md", "Markdown", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\gamification.md", "Markdown", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 138
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\interactions.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\database_schema\social.md", "Markdown", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 113
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\flows\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\flows\auth_registration.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 101
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\flows\challenges_gamification.md", "Markdown", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 78
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\flows\discovery_swipe.md", "Markdown", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 199
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\flows\social_profile.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 69
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\group_lobby_spec.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 67
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\math_models.md", "Markdown", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\openapi (1).json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\proposal.md", "Markdown", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 298
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\proposal_new.md", "Markdown", 1523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 434, 1957
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\ui_upgrade_phase_plan.md", "Markdown", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 189
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\docs\vector_dimensions.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\frontend\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\frontend\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 3, 19
